architecture,optimizer,clip_strategy,length,accuracy
RNN,Adam,None,25,0.67128
RNN,Adam,None,50,0.58864
RNN,Adam,None,100,0.53136
RNN,Adam,Clipping,25,0.67212
RNN,Adam,Clipping,50,0.66348
RNN,Adam,Clipping,100,0.66284
RNN,SGD,None,25,0.5406
RNN,SGD,None,50,0.51056
RNN,SGD,None,100,0.50348
RNN,SGD,Clipping,25,0.56888
RNN,SGD,Clipping,50,0.51432
RNN,SGD,Clipping,100,0.50296
RNN,RMSprop,None,25,0.68632
RNN,RMSprop,None,50,0.68828
RNN,RMSprop,None,100,0.5344
RNN,RMSprop,Clipping,25,0.68036
RNN,RMSprop,Clipping,50,0.62908
RNN,RMSprop,Clipping,100,0.71624
LSTM,Adam,None,25,0.69384
LSTM,Adam,None,50,0.74284
LSTM,Adam,None,100,0.7818
LSTM,Adam,Clipping,25,0.6908
LSTM,Adam,Clipping,50,0.74536
LSTM,Adam,Clipping,100,0.79572
LSTM,SGD,None,25,0.666
LSTM,SGD,None,50,0.70848
LSTM,SGD,None,100,0.74472
LSTM,SGD,Clipping,25,0.66488
LSTM,SGD,Clipping,50,0.7236
LSTM,SGD,Clipping,100,0.76028
LSTM,RMSprop,None,25,0.679
LSTM,RMSprop,None,50,0.74164
LSTM,RMSprop,None,100,0.8012
LSTM,RMSprop,Clipping,25,0.68976
LSTM,RMSprop,Clipping,50,0.74892
LSTM,RMSprop,Clipping,100,0.80412
Bi-LSTM,Adam,None,25,0.68384
Bi-LSTM,Adam,None,50,0.73896
Bi-LSTM,Adam,None,100,0.77112
Bi-LSTM,Adam,Clipping,25,0.69084
Bi-LSTM,Adam,Clipping,50,0.74088
Bi-LSTM,Adam,Clipping,100,0.79548
Bi-LSTM,SGD,None,25,0.66096
Bi-LSTM,SGD,None,50,0.70416
Bi-LSTM,SGD,None,100,0.76864
Bi-LSTM,SGD,Clipping,25,0.66952
Bi-LSTM,SGD,Clipping,50,0.70696
Bi-LSTM,SGD,Clipping,100,0.76616
Bi-LSTM,RMSprop,None,25,0.693
Bi-LSTM,RMSprop,None,50,0.73588
Bi-LSTM,RMSprop,None,100,0.79976
Bi-LSTM,RMSprop,Clipping,25,0.68644
Bi-LSTM,RMSprop,Clipping,50,0.7402
Bi-LSTM,RMSprop,Clipping,100,0.79628
